order_id,pizza_id,quantity
1,hawaiian,1
2,mexicana,1
2,classic_dlx,1
2,five_cheese,1
2,five_cheese,1
4,five_cheese,1
5,ital_supr,1
8,spinach_supr,1
9,classic_dlx,1
9,spin_pesto,1
9,green_garden,1
9,veggie_veg,1
9,spicy_ital,1
9,mexicana,1
9,ital_supr,1
13,mexicana,1
14,mexicana,1
15,soppressata,1
15,soppressata,1
15,soppressata,1
16,four_cheese,1
16,thai_ckn,1
16,napolitana,1
17,ital_veggie,1
17,spinach_fet,1
17,peppr_salami,1
17,mediterraneo,2
17,four_cheese,1
17,five_cheese,1
17,mexicana,1
17,calabrese,1
17,calabrese,1
17,bbq_ckn,1
18,bbq_ckn,1
19,sicilian,1
20,sicilian,1
20,five_cheese,1
21,ital_cpcllo,1
22,five_cheese,1
22,southw_ckn,1
24,ital_cpcllo,1
24,ital_cpcllo,1
24,ital_cpcllo,1
25,sicilian,1
25,thai_ckn,1
26,veggie_veg,1
26,classic_dlx,1
27,classic_dlx,1
27,bbq_ckn,1
28,ckn_alfredo,1
29,green_garden,1
31,mexicana,1
32,ital_supr,1
32,ital_cpcllo,1
32,ital_cpcllo,1
35,pep_msh_pep,1
35,green_garden,1
35,pepperoni,1
36,bbq_ckn,1
36,classic_dlx,1
37,mexicana,1
37,ital_supr,1
38,ital_cpcllo,1
38,hawaiian,1
39,hawaiian,1
40,southw_ckn,1
40,four_cheese,1
41,green_garden,1
42,green_garden,1
42,peppr_salami,1
42,peppr_salami,1
43,ital_supr,1
43,ckn_alfredo,1
45,ckn_alfredo,1
45,ckn_alfredo,1
45,hawaiian,1
46,classic_dlx,1
46,ckn_pesto,1
46,ckn_pesto,1
47,veggie_veg,1
47,southw_ckn,1
49,sicilian,1
50,the_greek,1
51,pep_msh_pep,1
51,bbq_ckn,1
52,hawaiian,1
52,spicy_ital,1
52,spicy_ital,1
53,pep_msh_pep,1
53,spinach_supr,1
54,prsc_argla,1
54,thai_ckn,1
55,peppr_salami,1
55,spicy_ital,1
56,classic_dlx,1
56,southw_ckn,1
56,mediterraneo,1
57,classic_dlx,1
59,pepperoni,1
59,ital_veggie,1
59,ital_veggie,1
60,ckn_pesto,1
60,four_cheese,1
61,bbq_ckn,1
61,bbq_ckn,1
62,bbq_ckn,1
63,pep_msh_pep,1
65,sicilian,1
65,spinach_supr,1
65,pep_msh_pep,1
65,spicy_ital,1
66,ital_cpcllo,1
66,classic_dlx,1
67,classic_dlx,1
68,classic_dlx,1
68,ital_supr,1
68,ital_supr,1
69,bbq_ckn,1
70,ital_veggie,1
70,soppressata,1
71,soppressata,1
72,spinach_fet,1
73,thai_ckn,1
74,spin_pesto,1
74,spinach_supr,1
74,five_cheese,1
75,ital_supr,1
75,mediterraneo,1
76,ital_veggie,1
76,hawaiian,1
76,spicy_ital,1
76,spicy_ital,1
77,bbq_ckn,1
77,hawaiian,1
78,spicy_ital,3
78,four_cheese,1
78,thai_ckn,1
78,big_meat,1
78,classic_dlx,1
79,classic_dlx,1
79,classic_dlx,1
80,pepperoni,1
80,pepperoni,1
81,pepperoni,1
82,veggie_veg,1
82,big_meat,1
83,southw_ckn,1
84,pepperoni,1
85,pepperoni,1
85,ital_supr,1
85,classic_dlx,1
85,classic_dlx,1
86,hawaiian,1
87,spinach_supr,1
87,ital_cpcllo,1
88,five_cheese,1
89,soppressata,1
89,soppressata,1
90,sicilian,1
90,thai_ckn,1
91,ckn_pesto,1
91,pepperoni,1
91,bbq_ckn,1
92,the_greek,2
92,the_greek,1
92,pepperoni,1
92,pepperoni,1
92,ital_veggie,1
92,ital_veggie,1
92,spinach_fet,1
92,spinach_supr,1
94,southw_ckn,1
94,ital_cpcllo,1
95,peppr_salami,1
95,napolitana,1
97,big_meat,1
98,napolitana,1
98,classic_dlx,1
99,ital_supr,1
101,spicy_ital,1
101,spicy_ital,1
101,soppressata,1
101,pepperoni,1
102,prsc_argla,1
103,spinach_supr,1
104,bbq_ckn,1
104,veggie_veg,1
104,ital_veggie,1
105,prsc_argla,1
105,hawaiian,2
106,spicy_ital,1
106,mexicana,1
107,spicy_ital,1
107,cali_ckn,1
107,veggie_veg,1
107,veggie_veg,1
109,pepperoni,1
109,ital_supr,1
109,ital_cpcllo,1
109,prsc_argla,1
110,spicy_ital,1
110,napolitana,1
110,napolitana,1
111,pepperoni,1
111,spin_pesto,1
111,cali_ckn,1
112,pepperoni,1
113,southw_ckn,1
113,mexicana,1
113,cali_ckn,1
114,pepperoni,1
114,sicilian,1
115,napolitana,1
115,big_meat,1
115,thai_ckn,1
116,five_cheese,1
117,sicilian,1
117,peppr_salami,1
118,prsc_argla,1
118,spinach_fet,1
119,four_cheese,1
120,hawaiian,1
120,spinach_fet,1
120,classic_dlx,1
121,sicilian,1
121,four_cheese,1
121,four_cheese,1
121,southw_ckn,1
122,ital_supr,1
123,ital_cpcllo,1
124,spicy_ital,1
124,spicy_ital,1
124,sicilian,1
124,bbq_ckn,1
125,the_greek,1
126,veggie_veg,1
127,pepperoni,1
128,spicy_ital,1
129,big_meat,1
129,big_meat,1
130,ital_cpcllo,1
130,southw_ckn,1
130,mexicana,1
132,pepperoni,1
133,pepperoni,1
133,pepperoni,1
134,pepperoni,1
134,southw_ckn,1
135,veggie_veg,1
136,peppr_salami,1
136,five_cheese,1
137,spicy_ital,1
137,spicy_ital,1
138,sicilian,1
138,ital_veggie,1
138,cali_ckn,1
138,four_cheese,1
139,five_cheese,1
140,veggie_veg,1
140,prsc_argla,1
141,classic_dlx,1
144,southw_ckn,1
144,four_cheese,1
144,southw_ckn,1
144,spicy_ital,1
144,five_cheese,1
144,bbq_ckn,3
144,bbq_ckn,1
144,ckn_pesto,1
144,big_meat,1
144,big_meat,1
144,thai_ckn,1
145,the_greek,1
146,hawaiian,1
146,hawaiian,1
147,the_greek,1
148,mediterraneo,1
149,spinach_fet,1
150,pepperoni,1
151,southw_ckn,1
151,spinach_supr,1
153,mexicana,1
154,prsc_argla,1
155,napolitana,1
155,napolitana,1
155,pepperoni,1
155,peppr_salami,1
156,napolitana,1
156,thai_ckn,1
157,sicilian,1
157,mediterraneo,1
157,spin_pesto,1
157,ital_supr,1
158,ital_veggie,1
158,ital_veggie,1
159,thai_ckn,1
159,four_cheese,1
161,hawaiian,1
161,spicy_ital,1
161,spicy_ital,1
162,big_meat,1
164,cali_ckn,1
164,pepperoni,1
165,prsc_argla,1
166,prsc_argla,1
167,ital_supr,1
167,ital_supr,1
168,big_meat,1
168,veggie_veg,1
169,four_cheese,1
169,ital_cpcllo,1
169,sicilian,1
170,hawaiian,1
171,hawaiian,1
172,napolitana,1
172,spinach_supr,1
173,cali_ckn,1
173,veggie_veg,1
174,ital_cpcllo,1
174,cali_ckn,1
